Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
01-01-2013,1266.95,1267.9,1260,1262.3,1264.15,254790,3220.75
02-01-2013,1267,1272.4,1255.55,1262.95,1263.3,940123,11885.37
03-01-2013,1265,1284,1259.95,1282.9,1280.6,1317565,16821.01
04-01-2013,1285,1301,1280.9,1299,1299.2,2614380,33794.17
07-01-2013,1300,1304,1290.25,1295,1294.85,910376,11799.61
08-01-2013,1295,1304.3,1294.3,1300.5,1300.25,1170935,15220.21
09-01-2013,1301,1307.4,1273.15,1277,1276.6,1567949,20137.78
10-01-2013,1279.9,1282.1,1255.3,1269,1258.4,2261419,28619.04
11-01-2013,1290,1322.5,1290,1305.8,1306.35,3902503,50933.69
14-01-2013,1319,1348.45,1307.35,1335.6,1334.5,2895112,38598.84
15-01-2013,1390,1400,1327,1338.05,1337.45,4131489,56377.75
16-01-2013,1336.9,1355,1309,1344.9,1347.75,2054746,27415.36
17-01-2013,1349.7,1371.8,1343,1360.75,1362,1514272,20637.77
18-01-2013,1362.5,1366.05,1338.05,1350.95,1351,720235,9742.03
21-01-2013,1352.5,1354.9,1327.1,1330.8,1330,630019,8416.24
22-01-2013,1326,1331.7,1308.1,1314.8,1317.5,693315,9172.69
23-01-2013,1315.75,1323.75,1298.4,1312,1311.95,938827,12290.19
24-01-2013,1305,1336.9,1305,1330,1328.55,1749235,23256.69
25-01-2013,1323.75,1345,1323.75,1343,1340.5,760550,10190.39
28-01-2013,1340.3,1349.95,1337.95,1345.15,1345.05,1214077,16331.32
29-01-2013,1341.2,1356.55,1340.3,1343.55,1344.95,865902,11666.23
30-01-2013,1341,1349.85,1335.8,1342,1346.15,1139572,15335.51
31-01-2013,1348.85,1352.45,1326.4,1343.1,1344.15,2156584,28987
01-02-2013,1344,1352,1342.15,1347.9,1348.1,742270,10006.7
04-02-2013,1349,1367.8,1345.15,1352,1356.35,1243652,16873.02
05-02-2013,1345.1,1365,1345.1,1361.15,1360.05,1080997,14702.64
06-02-2013,1362.5,1375.9,1362,1368,1370.55,1786853,24438.83
07-02-2013,1361,1390,1361,1386,1387.15,1306391,18030.13
08-02-2013,1386,1437,1385.1,1418.1,1422.6,3486809,49503.68
11-02-2013,1424,1428.9,1412.25,1413,1414.7,1156063,16385.27
